haplotype_id,sample_id,population,country,region,sex,core_haplotype,network_haplotype_group,hierarchy_haplotype_group
AB0085-Ca,AB0085-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0085-Cb,AB0085-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0087-Ca,AB0087-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0087-Cb,AB0087-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0088-Ca,AB0088-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0088-Cb,AB0088-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0089-Ca,AB0089-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0089-Cb,AB0089-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0090-Ca,AB0090-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0090-Cb,AB0090-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0091-Ca,AB0091-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0091-Cb,AB0091-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0092-Ca,AB0092-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0092-Cb,AB0092-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0094-Ca,AB0094-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0094-Cb,AB0094-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0095-Ca,AB0095-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0095-Cb,AB0095-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0097-Ca,AB0097-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0097-Cb,AB0097-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0098-Ca,AB0098-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0098-Cb,AB0098-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0099-Ca,AB0099-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0099-Cb,AB0099-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0100-Ca,AB0100-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0100-Cb,AB0100-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0101-Ca,AB0101-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0101-Cb,AB0101-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0103-Ca,AB0103-C,BFS,Burkina Faso,Bana,F,F1,F1,F1
AB0103-Cb,AB0103-C,BFS,Burkina Faso,Bana,F,F1,F1,F1
AB0104-Ca,AB0104-C,BFS,Burkina Faso,Bana,F,F1,F1,F1
AB0104-Cb,AB0104-C,BFS,Burkina Faso,Bana,F,F1,F1,F1
AB0109-Ca,AB0109-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0109-Cb,AB0109-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0110-Ca,AB0110-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0110-Cb,AB0110-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0111-Ca,AB0111-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0111-Cb,AB0111-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0112-Ca,AB0112-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0112-Cb,AB0112-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0113-Ca,AB0113-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0113-Cb,AB0113-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0114-Ca,AB0114-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0114-Cb,AB0114-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0117-Ca,AB0117-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0117-Cb,AB0117-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0119-Ca,AB0119-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0119-Cb,AB0119-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0122-Ca,AB0122-C,BFM,Burkina Faso,Bana,M,F1,F1,F1
AB0122-Cb,AB0122-C,BFM,Burkina Faso,Bana,M,F1,F1,F1
AB0123-Ca,AB0123-C,BFM,Burkina Faso,Bana,M,F1,F1,F1
AB0123-Cb,AB0123-C,BFM,Burkina Faso,Bana,M,F1,F1,F1
AB0124-Ca,AB0124-C,BFM,Burkina Faso,Bana,M,F1,F1,F1
AB0124-Cb,AB0124-C,BFM,Burkina Faso,Bana,M,F1,F1,F1
AB0126-Ca,AB0126-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0126-Cb,AB0126-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0127-Ca,AB0127-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0127-Cb,AB0127-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0128-Ca,AB0128-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0128-Cb,AB0128-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0129-Ca,AB0129-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0129-Cb,AB0129-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0130-Ca,AB0130-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0130-Cb,AB0130-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0133-Ca,AB0133-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0133-Cb,AB0133-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0134-Ca,AB0134-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0134-Cb,AB0134-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0135-Ca,AB0135-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0135-Cb,AB0135-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0136-Ca,AB0136-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0136-Cb,AB0136-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0137-Ca,AB0137-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0137-Cb,AB0137-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0138-Ca,AB0138-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0138-Cb,AB0138-C,BFM,Burkina Faso,Sourukoudinga,F,L1,L1,
AB0139-Ca,AB0139-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0139-Cb,AB0139-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0140-Ca,AB0140-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0140-Cb,AB0140-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0142-Ca,AB0142-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0142-Cb,AB0142-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0143-Ca,AB0143-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0143-Cb,AB0143-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0145-Ca,AB0145-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0145-Cb,AB0145-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0146-Ca,AB0146-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0146-Cb,AB0146-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0147-Ca,AB0147-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0147-Cb,AB0147-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0148-Ca,AB0148-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0148-Cb,AB0148-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0151-Ca,AB0151-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0151-Cb,AB0151-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0153-Ca,AB0153-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0153-Cb,AB0153-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0155-Ca,AB0155-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0155-Cb,AB0155-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0157-Ca,AB0157-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0157-Cb,AB0157-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0158-Ca,AB0158-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0158-Cb,AB0158-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0159-Ca,AB0159-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0159-Cb,AB0159-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0160-Ca,AB0160-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0160-Cb,AB0160-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0161-Ca,AB0161-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0161-Cb,AB0161-C,BFS,Burkina Faso,Bana,M,F1,F1,F1
AB0164-Ca,AB0164-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0164-Cb,AB0164-C,BFS,Burkina Faso,Pala,M,F1,FX,F1
AB0166-Ca,AB0166-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0166-Cb,AB0166-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0169-Ca,AB0169-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0169-Cb,AB0169-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0170-Ca,AB0170-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0170-Cb,AB0170-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0171-Ca,AB0171-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0171-Cb,AB0171-C,BFS,Burkina Faso,Pala,M,F1,F1,F1
AB0172-Ca,AB0172-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0172-Cb,AB0172-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0173-Ca,AB0173-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0173-Cb,AB0173-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0174-Ca,AB0174-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0174-Cb,AB0174-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0175-Ca,AB0175-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0175-Cb,AB0175-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0176-Ca,AB0176-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0176-Cb,AB0176-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0177-Ca,AB0177-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0177-Cb,AB0177-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0178-Ca,AB0178-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0178-Cb,AB0178-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0179-Ca,AB0179-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0179-Cb,AB0179-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0181-Ca,AB0181-C,BFM,Burkina Faso,Bana,F,F1,FX,F1
AB0181-Cb,AB0181-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0182-Ca,AB0182-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0182-Cb,AB0182-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0183-Ca,AB0183-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0183-Cb,AB0183-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0184-Ca,AB0184-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0184-Cb,AB0184-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0185-Ca,AB0185-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0185-Cb,AB0185-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0186-Ca,AB0186-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0186-Cb,AB0186-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0187-Ca,AB0187-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0187-Cb,AB0187-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0188-Ca,AB0188-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0188-Cb,AB0188-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0189-Ca,AB0189-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0189-Cb,AB0189-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0190-Ca,AB0190-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0190-Cb,AB0190-C,BFM,Burkina Faso,Bana,F,F1,FX,F1
AB0191-Ca,AB0191-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0191-Cb,AB0191-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0192-Ca,AB0192-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0192-Cb,AB0192-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0197-Ca,AB0197-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0197-Cb,AB0197-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0198-Ca,AB0198-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0198-Cb,AB0198-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0199-Ca,AB0199-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0199-Cb,AB0199-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0201-Ca,AB0201-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0201-Cb,AB0201-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0202-Ca,AB0202-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0202-Cb,AB0202-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0203-Ca,AB0203-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0203-Cb,AB0203-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0204-Ca,AB0204-C,BFM,Burkina Faso,Pala,F,L1,L1,
AB0204-Cb,AB0204-C,BFM,Burkina Faso,Pala,F,F1,F1,F1
AB0205-Ca,AB0205-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0205-Cb,AB0205-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0206-Ca,AB0206-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0206-Cb,AB0206-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0207-Ca,AB0207-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0207-Cb,AB0207-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0208-Ca,AB0208-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0208-Cb,AB0208-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0209-Ca,AB0209-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0209-Cb,AB0209-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0210-Ca,AB0210-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0210-Cb,AB0210-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0211-Ca,AB0211-C,BFS,Burkina Faso,Bana,F,F1,F1,F1
AB0211-Cb,AB0211-C,BFS,Burkina Faso,Bana,F,F1,F1,F1
AB0212-Ca,AB0212-C,BFM,Burkina Faso,Bana,F,L1,L1,
AB0212-Cb,AB0212-C,BFM,Burkina Faso,Bana,F,F1,F1,F1
AB0213-Ca,AB0213-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0213-Cb,AB0213-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0217-Ca,AB0217-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0217-Cb,AB0217-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0219-Ca,AB0219-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0219-Cb,AB0219-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0221-Ca,AB0221-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0221-Cb,AB0221-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0222-Ca,AB0222-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0222-Cb,AB0222-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0223-Ca,AB0223-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0223-Cb,AB0223-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0224-Ca,AB0224-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0224-Cb,AB0224-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0226-Ca,AB0226-C,BFM,Burkina Faso,Sourukoudinga,F,WT18,WT,
AB0226-Cb,AB0226-C,BFM,Burkina Faso,Sourukoudinga,F,FX02,L1,
AB0227-Ca,AB0227-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0227-Cb,AB0227-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0228-Ca,AB0228-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0228-Cb,AB0228-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0229-Ca,AB0229-C,BFM,Burkina Faso,Sourukoudinga,F,L1,L1,
AB0229-Cb,AB0229-C,BFM,Burkina Faso,Sourukoudinga,F,F1,FX,
AB0231-Ca,AB0231-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0231-Cb,AB0231-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0233-Ca,AB0233-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0233-Cb,AB0233-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0234-Ca,AB0234-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0234-Cb,AB0234-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0235-Ca,AB0235-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0235-Cb,AB0235-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0236-Ca,AB0236-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0236-Cb,AB0236-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0237-Ca,AB0237-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0237-Cb,AB0237-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0238-Ca,AB0238-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0238-Cb,AB0238-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0239-Ca,AB0239-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0239-Cb,AB0239-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0240-Ca,AB0240-C,BFM,Burkina Faso,Sourukoudinga,F,L1,L1,
AB0240-Cb,AB0240-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0241-Ca,AB0241-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0241-Cb,AB0241-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0242-Ca,AB0242-C,BFM,Burkina Faso,Sourukoudinga,F,F1,FX,
AB0242-Cb,AB0242-C,BFM,Burkina Faso,Sourukoudinga,F,L1,WT,
AB0243-Ca,AB0243-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0243-Cb,AB0243-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0244-Ca,AB0244-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0244-Cb,AB0244-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0246-Ca,AB0246-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0246-Cb,AB0246-C,BFM,Burkina Faso,Sourukoudinga,F,L1,L1,
AB0249-Ca,AB0249-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0249-Cb,AB0249-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0250-Ca,AB0250-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0250-Cb,AB0250-C,BFM,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0251-Ca,AB0251-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0251-Cb,AB0251-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0252-Ca,AB0252-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0252-Cb,AB0252-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0253-Ca,AB0253-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0253-Cb,AB0253-C,BFS,Burkina Faso,Sourukoudinga,F,F1,F1,F1
AB0256-Ca,AB0256-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0256-Cb,AB0256-C,BFS,Burkina Faso,Pala,F,F1,F1,F1
AB0257-Ca,AB0257-C,BFM,Burkina Faso,Pala,F,F1,F1,F1
AB0257-Cb,AB0257-C,BFM,Burkina Faso,Pala,F,L1,L1,
AB0258-Ca,AB0258-C,BFM,Burkina Faso,Pala,F,F1,F1,F1
